                     objid  nvote  spiral  elliptical  uncertain          ra       dec  petror90_r   expAB_r          u          g          r          i        u-g
0      1237648673992671592     40       0           1          0  237.945144 -0.105170    13.36310  0.923567  17.606770  15.529860  14.628530  14.217860   2.076910
1      1237648674529476946     52       0           1          0  237.798299  0.319624    11.13560  0.729229  18.604270  16.592330  15.646600  15.234240   2.011940
2      1237648674529476993     47       1           0          0  237.811418  0.293006    10.64184  0.519332  17.711020  16.292180  15.635110  15.308610   1.418840
3      1237648675066675556     33       1           0          0  238.489210  0.688090    10.56850  0.542142  17.145480  15.782180  15.149730  14.775050   1.363300
4      1237648704063340840     65       1           0          0  236.173157 -0.253611    14.08793  0.193187  17.857710  16.555700  16.002260  15.703300   1.302010
5      1237648704063734168     64       1           0          0  237.125387 -0.367078    10.43547  0.207466  18.651300  17.214180  16.531520  16.142130   1.437120
6      1237648704600343113     60       1           0          0  236.465259  0.035219    15.21202  0.231327  19.370410  17.515220  16.807120  16.404490   1.855190
7      1237648704600670761     29       1           0          0  237.330366  0.182667    28.32715  0.373905  16.791400  14.883520  13.990560  13.539730   1.907880
8      1237648704600735996     62       0           0          1  237.498066  0.201994    24.87561  0.482582  16.271640  14.403490  13.564470  13.158070   1.868150
9      1237648704600867002     51       1           0          0  237.778159  0.086978    11.07977  0.418571  19.507540  17.672220  16.713100  16.254070   1.835320
10     1237648704600998285     38       1           0          0  238.020266  0.139960    12.39588  0.316289  18.967940  17.247200  16.523360  16.093820   1.720740
11     1237648705136885792     33       0           1          0  235.741418  0.540196    16.65673  0.660567  17.784020  15.805170  14.834020  14.394480   1.978850
12     1237648705137082856     21       1           0          0  236.289706  0.606408    10.80359  0.831592  18.076760  16.433140  15.771880  15.447390   1.643620
13     1237648705137541215     51       1           0          0  237.255042  0.512396    23.99014  0.761688  16.660450  15.611720  15.159620  14.885700   1.048730
14     1237648705137607019     33       1           0          0  237.399114  0.426894    10.43519  0.320923  18.407540  16.673020  15.872740  15.496200   1.734520
15     1237648705137672366     28       1           0          0  237.600715  0.569189    12.39542  0.533395  17.241510  15.650080  14.878020  14.440240   1.591430
16     1237648720718397583     33       0           1          0  236.070887 -0.489407    19.31101  0.688817  17.797220  15.904590  14.994020  14.573890   1.892630
17     1237648721255596126     35       0           1          0  236.751753 -0.056342    19.37687  0.676518  18.064070  16.097080  15.093650  14.682560   1.966990
18     1237648721255596436     51       1           0          0  236.759838 -0.103342    10.33258  0.296367  18.448020  17.142980  16.582530  16.270760   1.305040
19     1237648721255792721     30       0           1          0  237.202220 -0.000421    38.75308  0.467556  17.462350  15.516860  14.555120  14.137250   1.945490
20     1237648721255792990     35       1           0          0  237.179023 -0.070087    10.48847  0.231953  18.623490  16.949530  16.147050  15.710340   1.673960
21     1237648721255858862     56       0           0          1  237.345119 -0.087399    10.07975  0.781397  18.757170  17.824140  17.599830  17.369510   0.933030
22     1237648721792205260     33       0           1          0  236.221791  0.404306    12.21851  0.804086  17.419650  15.643980  14.856960  14.468470   1.775670
23     1237648721792270405     34       1           0          0  236.296762  0.237616    11.88768  0.650025  17.939410  16.660760  16.128410  15.856060   1.278650
24     1237648721792270672     38       0           1          0  236.349158  0.294357    10.38827  0.830994  18.756710  16.828770  15.947550  15.542900   1.927940
25     1237648721792467178     59       1           0          0  236.797192  0.406890    13.35529  0.927347  17.242220  15.890470  15.321310  14.928840   1.351750
26     1237648721792467342     25       0           0          1  236.775717  0.348362    11.02071  0.530535  17.891310  16.497650  15.934880  15.650550   1.393660
27     1237650369414103212     42       1           0          0  193.568236 -3.391976    10.63460  0.601848  18.686970  16.927130  16.064660  15.623620   1.759840
