air_temp,clearsky_dhi,clearsky_ghi,cloud_opacity,dni,ghi,relative_humidity,period_end,period
25,0,0,86.6,0,0,82.4,2021-01-01T01:00:00Z,PT60M
25,0,0,65,0,0,82.9,2021-01-01T02:00:00Z,PT60M
24,0,0,65.1,0,0,83.1,2021-01-01T03:00:00Z,PT60M
24,0,0,52.7,0,0,82.8,2021-01-01T04:00:00Z,PT60M
24,0,0,54.7,0,0,83.1,2021-01-01T05:00:00Z,PT60M
24,0,0,59.9,0,0,83.3,2021-01-01T06:00:00Z,PT60M
24,0,0,72,0,0,83.6,2021-01-01T07:00:00Z,PT60M
24,0,0,53.3,0,0,84.1,2021-01-01T08:00:00Z,PT60M
24,0,0,75.4,0,0,84.4,2021-01-01T09:00:00Z,PT60M
24,0,0,81.2,0,0,84.6,2021-01-01T10:00:00Z,PT60M
24,0,0,79.7,0,0,85.7,2021-01-01T11:00:00Z,PT60M
24,16,21,67.6,0,10,86.7,2021-01-01T12:00:00Z,PT60M
24,85,186,41.8,1,111,87.5,2021-01-01T13:00:00Z,PT60M
24,129,416,32,61,286,88.1,2021-01-01T14:00:00Z,PT60M
25,152,628,20.6,268,500,85.8,2021-01-01T15:00:00Z,PT60M
26,166,790,35,139,510,83.8,2021-01-01T16:00:00Z,PT60M
26,169,891,72.6,2,242,82.8,2021-01-01T17:00:00Z,PT60M
26,164,921,87.8,0,112,79.9,2021-01-01T18:00:00Z,PT60M
27,157,875,75.5,0,212,78,2021-01-01T19:00:00Z,PT60M
26,144,760,61.7,0,292,78.7,2021-01-01T20:00:00Z,PT60M
26,127,584,66.8,0,194,78.9,2021-01-01T21:00:00Z,PT60M
26,102,365,75.2,0,92,81.5,2021-01-01T22:00:00Z,PT60M
25,60,137,63,0,46,85,2021-01-01T23:00:00Z,PT60M
25,5,6,58.8,0,3,84.7,2021-01-02T00:00:00Z,PT60M
24,0,0,65.7,0,0,85.2,2021-01-02T01:00:00Z,PT60M
24,0,0,74.9,0,0,86.7,2021-01-02T02:00:00Z,PT60M
24,0,0,83.9,0,0,87.3,2021-01-02T03:00:00Z,PT60M
24,0,0,86.4,0,0,86,2021-01-02T04:00:00Z,PT60M
24,0,0,83.9,0,0,85.4,2021-01-02T05:00:00Z,PT60M
24,0,0,90.7,0,0,86.5,2021-01-02T06:00:00Z,PT60M
24,0,0,92.6,0,0,88.1,2021-01-02T07:00:00Z,PT60M
24,0,0,85,0,0,90.2,2021-01-02T08:00:00Z,PT60M
24,0,0,76.8,0,0,91.6,2021-01-02T09:00:00Z,PT60M
23,0,0,74.1,0,0,92.4,2021-01-02T10:00:00Z,PT60M
23,0,0,75.4,0,0,93.3,2021-01-02T11:00:00Z,PT60M
23,15,24,71,7,15,93.3,2021-01-02T12:00:00Z,PT60M
23,67,202,30.5,31,138,93,2021-01-02T13:00:00Z,PT60M
23,98,433,40.1,9,259,92.1,2021-01-02T14:00:00Z,PT60M
24,113,644,43.2,61,371,90.5,2021-01-02T15:00:00Z,PT60M
25,129,805,17.1,422,667,89.7,2021-01-02T16:00:00Z,PT60M
25,140,902,40.7,67,533,88.4,2021-01-02T17:00:00Z,PT60M
26,138,931,55.9,0,410,86.9,2021-01-02T18:00:00Z,PT60M
26,129,886,42.4,29,509,86.1,2021-01-02T19:00:00Z,PT60M
26,119,771,45.3,2,421,85.3,2021-01-02T20:00:00Z,PT60M
26,106,595,56,0,261,83.8,2021-01-02T21:00:00Z,PT60M
26,87,376,50.2,0,186,81.3,2021-01-02T22:00:00Z,PT60M
26,55,146,55,0,68,81.3,2021-01-02T23:00:00Z,PT60M
26,5,7,88.4,0,1,83,2021-01-03T00:00:00Z,PT60M
26,0,0,83,0,0,83.5,2021-01-03T01:00:00Z,PT60M
25,0,0,83.5,0,0,83.8,2021-01-03T02:00:00Z,PT60M
25,0,0,79,0,0,84.7,2021-01-03T03:00:00Z,PT60M
25,0,0,91.7,0,0,86.3,2021-01-03T04:00:00Z,PT60M
24,0,0,95.6,0,0,88.1,2021-01-03T05:00:00Z,PT60M
24,0,0,95.5,0,0,89.4,2021-01-03T06:00:00Z,PT60M
24,0,0,89.8,0,0,90,2021-01-03T07:00:00Z,PT60M
24,0,0,89.1,0,0,90.5,2021-01-03T08:00:00Z,PT60M
24,0,0,93.9,0,0,91.1,2021-01-03T09:00:00Z,PT60M
24,0,0,89.8,0,0,92.2,2021-01-03T10:00:00Z,PT60M
24,0,0,92.9,0,0,93,2021-01-03T11:00:00Z,PT60M
24,15,22,77.9,0,8,93,2021-01-03T12:00:00Z,PT60M
24,73,196,78.2,0,43,93.6,2021-01-03T13:00:00Z,PT60M
24,109,425,75.9,0,103,92.2,2021-01-03T14:00:00Z,PT60M
25,124,638,63.2,0,238,86.3,2021-01-03T15:00:00Z,PT60M
26,132,802,57.3,0,343,82.1,2021-01-03T16:00:00Z,PT60M
27,134,903,50.5,0,447,80.9,2021-01-03T17:00:00Z,PT60M
27,135,932,28.3,267,668,81,2021-01-03T18:00:00Z,PT60M
27,133,886,20.9,356,701,81.7,2021-01-03T19:00:00Z,PT60M
27,127,769,19.2,371,622,83.9,2021-01-03T20:00:00Z,PT60M
26,119,591,30,147,416,85.3,2021-01-03T21:00:00Z,PT60M
26,99,372,51.1,0,185,85.1,2021-01-03T22:00:00Z,PT60M
26,60,143,46.8,0,74,86.1,2021-01-03T23:00:00Z,PT60M
26,5,7,76.4,0,2,87.4,2021-01-04T00:00:00Z,PT60M
25,0,0,66,0,0,88.4,2021-01-04T01:00:00Z,PT60M
25,0,0,42.6,0,0,89.2,2021-01-04T02:00:00Z,PT60M
25,0,0,55.7,0,0,90,2021-01-04T03:00:00Z,PT60M
24,0,0,45.2,0,0,90.8,2021-01-04T04:00:00Z,PT60M
24,0,0,54,0,0,91.6,2021-01-04T05:00:00Z,PT60M
24,0,0,54.4,0,0,91.9,2021-01-04T06:00:00Z,PT60M
24,0,0,71.3,0,0,91.6,2021-01-04T07:00:00Z,PT60M
