air_temp,clearsky_dhi,clearsky_ghi,cloud_opacity,dni,ghi,relative_humidity,period_end,period
24,0,0,82.5,0,0,81.5,2021-01-01T01:00:00Z,PT60M
24,0,0,73.5,0,0,82.1,2021-01-01T02:00:00Z,PT60M
24,0,0,88.6,0,0,81.3,2021-01-01T03:00:00Z,PT60M
24,0,0,90,0,0,80.8,2021-01-01T04:00:00Z,PT60M
24,0,0,89.8,0,0,81.3,2021-01-01T05:00:00Z,PT60M
24,0,0,83.4,0,0,81.3,2021-01-01T06:00:00Z,PT60M
24,0,0,84.6,0,0,81.3,2021-01-01T07:00:00Z,PT60M
24,0,0,79.9,0,0,81.8,2021-01-01T08:00:00Z,PT60M
24,0,0,76.7,0,0,81.5,2021-01-01T09:00:00Z,PT60M
24,0,0,67.5,0,0,81.3,2021-01-01T10:00:00Z,PT60M
24,0,0,65,0,0,82.6,2021-01-01T11:00:00Z,PT60M
24,15,21,52.7,0,14,83.3,2021-01-01T12:00:00Z,PT60M
24,78,191,34,12,117,82.8,2021-01-01T13:00:00Z,PT60M
24,111,428,64.6,0,152,81.8,2021-01-01T14:00:00Z,PT60M
25,121,646,55.6,0,283,76,2021-01-01T15:00:00Z,PT60M
26,121,817,84.5,0,129,69.2,2021-01-01T16:00:00Z,PT60M
27,124,922,77.1,0,211,66.6,2021-01-01T17:00:00Z,PT60M
27,122,954,85.3,0,140,65.6,2021-01-01T18:00:00Z,PT60M
27,120,912,72.3,0,251,65.8,2021-01-01T19:00:00Z,PT60M
27,119,797,57,0,342,67.6,2021-01-01T20:00:00Z,PT60M
27,110,622,47.8,3,323,69,2021-01-01T21:00:00Z,PT60M
26,96,403,31.7,101,277,71.1,2021-01-01T22:00:00Z,PT60M
26,64,168,56.3,0,74,75.1,2021-01-01T23:00:00Z,PT60M
25,9,12,84,0,3,77.5,2021-01-02T00:00:00Z,PT60M
24,0,0,78.4,0,0,79.9,2021-01-02T01:00:00Z,PT60M
24,0,0,75.7,0,0,80.8,2021-01-02T02:00:00Z,PT60M
24,0,0,76.9,0,0,80.3,2021-01-02T03:00:00Z,PT60M
24,0,0,63.8,0,0,79.3,2021-01-02T04:00:00Z,PT60M
24,0,0,68.5,0,0,78.6,2021-01-02T05:00:00Z,PT60M
24,0,0,73.8,0,0,79.6,2021-01-02T06:00:00Z,PT60M
24,0,0,74.4,0,0,81.3,2021-01-02T07:00:00Z,PT60M
24,0,0,82.5,0,0,83.6,2021-01-02T08:00:00Z,PT60M
24,0,0,74.7,0,0,85.6,2021-01-02T09:00:00Z,PT60M
23,0,0,64.3,0,0,83.8,2021-01-02T10:00:00Z,PT60M
24,0,0,70.4,0,0,81.8,2021-01-02T11:00:00Z,PT60M
24,15,20,66.5,0,9,81.1,2021-01-02T12:00:00Z,PT60M
24,80,186,32.8,20,129,79.3,2021-01-02T13:00:00Z,PT60M
24,121,419,51.8,0,198,77.2,2021-01-02T14:00:00Z,PT60M
25,141,634,49.5,0,322,72.5,2021-01-02T15:00:00Z,PT60M
26,151,803,34.3,131,532,69,2021-01-02T16:00:00Z,PT60M
27,154,910,19.7,368,729,68.4,2021-01-02T17:00:00Z,PT60M
27,151,945,11.1,577,840,69.3,2021-01-02T18:00:00Z,PT60M
27,139,906,7.2,672,840,71,2021-01-02T19:00:00Z,PT60M
27,132,794,6.6,663,740,71.4,2021-01-02T20:00:00Z,PT60M
26,122,619,10.1,533,560,73.3,2021-01-02T21:00:00Z,PT60M
26,107,398,6.8,495,370,75.1,2021-01-02T22:00:00Z,PT60M
26,70,164,4.8,298,154,75.8,2021-01-02T23:00:00Z,PT60M
26,9,12,42.6,0,8,77.2,2021-01-03T00:00:00Z,PT60M
26,0,0,61.3,0,0,76.9,2021-01-03T01:00:00Z,PT60M
26,0,0,67.1,0,0,77.4,2021-01-03T02:00:00Z,PT60M
25,0,0,73.8,0,0,79,2021-01-03T03:00:00Z,PT60M
25,0,0,73.6,0,0,80.2,2021-01-03T04:00:00Z,PT60M
25,0,0,77.1,0,0,81.4,2021-01-03T05:00:00Z,PT60M
25,0,0,73.5,0,0,82.6,2021-01-03T06:00:00Z,PT60M
25,0,0,68.1,0,0,83.4,2021-01-03T07:00:00Z,PT60M
