air_temp,clearsky_dhi,clearsky_ghi,cloud_opacity,dni,ghi,relative_humidity,period_end,period
13,0,0,49.6,0,0,96.1,2021-01-01T01:00:00Z,PT60M
13,0,0,43.1,0,0,94.9,2021-01-01T02:00:00Z,PT60M
12,0,0,40.9,0,0,94.2,2021-01-01T03:00:00Z,PT60M
12,0,0,34.6,0,0,93.9,2021-01-01T04:00:00Z,PT60M
11,0,0,37.3,0,0,92.9,2021-01-01T05:00:00Z,PT60M
11,0,0,37.9,0,0,92.6,2021-01-01T06:00:00Z,PT60M
11,0,0,33.3,0,0,93.5,2021-01-01T07:00:00Z,PT60M
10,0,0,18.4,0,0,93.8,2021-01-01T08:00:00Z,PT60M
10,0,0,53.3,0,0,92.9,2021-01-01T09:00:00Z,PT60M
10,0,0,50.1,0,0,92.2,2021-01-01T10:00:00Z,PT60M
10,0,0,44.7,0,0,91.6,2021-01-01T11:00:00Z,PT60M
10,21,46,60.6,18,30,89.8,2021-01-01T12:00:00Z,PT60M
11,66,271,2.4,644,267,87.1,2021-01-01T13:00:00Z,PT60M
12,83,528,3.2,792,512,83,2021-01-01T14:00:00Z,PT60M
14,93,752,8.1,728,689,73.7,2021-01-01T15:00:00Z,PT60M
16,105,919,15.6,556,774,68.5,2021-01-01T16:00:00Z,PT60M
16,108,1018,38.3,158,625,73.4,2021-01-01T17:00:00Z,PT60M
15,109,1040,60,8,416,80.4,2021-01-01T18:00:00Z,PT60M
15,134,976,34,190,640,84.7,2021-01-01T19:00:00Z,PT60M
15,132,844,17.3,463,700,85,2021-01-01T20:00:00Z,PT60M
15,117,650,40.7,158,395,82.8,2021-01-01T21:00:00Z,PT60M
14,99,408,58.2,0,169,86.6,2021-01-01T22:00:00Z,PT60M
13,60,154,55.8,0,66,91.5,2021-01-01T23:00:00Z,PT60M
12,5,6,71.1,0,2,92.1,2021-01-02T00:00:00Z,PT60M
12,0,0,80.6,0,0,93.3,2021-01-02T01:00:00Z,PT60M
11,0,0,79,0,0,93.3,2021-01-02T02:00:00Z,PT60M
11,0,0,80.4,0,0,92.3,2021-01-02T03:00:00Z,PT60M
12,0,0,80.3,0,0,89,2021-01-02T04:00:00Z,PT60M
12,0,0,77.3,0,0,86.2,2021-01-02T05:00:00Z,PT60M
12,0,0,81.3,0,0,85.9,2021-01-02T06:00:00Z,PT60M
12,0,0,74.8,0,0,85.6,2021-01-02T07:00:00Z,PT60M
12,0,0,61.8,0,0,86.4,2021-01-02T08:00:00Z,PT60M
12,0,0,66.6,0,0,88.4,2021-01-02T09:00:00Z,PT60M
11,0,0,71.2,0,0,87.5,2021-01-02T10:00:00Z,PT60M
11,0,0,75.2,0,0,85.8,2021-01-02T11:00:00Z,PT60M
12,19,46,51,0,24,84.3,2021-01-02T12:00:00Z,PT60M
12,55,273,59.1,14,120,82.1,2021-01-02T13:00:00Z,PT60M
13,66,531,45.9,111,295,77.7,2021-01-02T14:00:00Z,PT60M
14,70,756,44.6,114,419,70.7,2021-01-02T15:00:00Z,PT60M
16,79,924,52.2,10,439,67.5,2021-01-02T16:00:00Z,PT60M
17,82,1024,40.7,294,612,69.1,2021-01-02T17:00:00Z,PT60M
17,84,1046,14.3,636,896,72.4,2021-01-02T18:00:00Z,PT60M
16,93,987,16.6,571,825,78.8,2021-01-02T19:00:00Z,PT60M
16,91,856,26.5,330,631,83.2,2021-01-02T20:00:00Z,PT60M
16,84,662,44.8,161,378,82.1,2021-01-02T21:00:00Z,PT60M
15,75,420,64.8,0,152,84.5,2021-01-02T22:00:00Z,PT60M
14,48,165,59,0,65,88.3,2021-01-02T23:00:00Z,PT60M
13,4,7,57.7,0,3,89.4,2021-01-03T00:00:00Z,PT60M
13,0,0,47.5,0,0,90,2021-01-03T01:00:00Z,PT60M
13,0,0,55.9,0,0,89.1,2021-01-03T02:00:00Z,PT60M
12,0,0,51.7,0,0,91.2,2021-01-03T03:00:00Z,PT60M
12,0,0,15.6,0,0,94.2,2021-01-03T04:00:00Z,PT60M
12,0,0,72.4,0,0,94.5,2021-01-03T05:00:00Z,PT60M
12,0,0,59.5,0,0,94.8,2021-01-03T06:00:00Z,PT60M
12,0,0,56.6,0,0,95.2,2021-01-03T07:00:00Z,PT60M
11,0,0,78.9,0,0,96.1,2021-01-03T08:00:00Z,PT60M
11,0,0,59.3,0,0,96.1,2021-01-03T09:00:00Z,PT60M
11,0,0,61.5,0,0,96.4,2021-01-03T10:00:00Z,PT60M
11,0,0,55.6,0,0,97.4,2021-01-03T11:00:00Z,PT60M
11,18,45,43.7,8,30,97,2021-01-03T12:00:00Z,PT60M
11,55,272,22.6,249,208,94.2,2021-01-03T13:00:00Z,PT60M
12,66,529,45.5,5,286,87.9,2021-01-03T14:00:00Z,PT60M
14,71,753,45,58,420,77.4,2021-01-03T15:00:00Z,PT60M
16,84,920,38.4,83,566,72.6,2021-01-03T16:00:00Z,PT60M
16,84,1021,27,315,745,76.9,2021-01-03T17:00:00Z,PT60M
16,91,1043,33,244,699,81.3,2021-01-03T18:00:00Z,PT60M
16,100,985,76.7,0,231,84.2,2021-01-03T19:00:00Z,PT60M
15,97,854,57,7,365,87.5,2021-01-03T20:00:00Z,PT60M
14,90,660,72.8,0,185,90.1,2021-01-03T21:00:00Z,PT60M
13,80,419,81.2,0,77,94.6,2021-01-03T22:00:00Z,PT60M
12,51,165,67.1,0,50,99,2021-01-03T23:00:00Z,PT60M
12,5,7,57,0,3,99.3,2021-01-04T00:00:00Z,PT60M
12,0,0,43.3,0,0,99.3,2021-01-04T01:00:00Z,PT60M
12,0,0,44.5,0,0,99.3,2021-01-04T02:00:00Z,PT60M
11,0,0,41.3,0,0,99,2021-01-04T03:00:00Z,PT60M
11,0,0,35.2,0,0,98.7,2021-01-04T04:00:00Z,PT60M
11,0,0,39.4,0,0,99,2021-01-04T05:00:00Z,PT60M
11,0,0,46.4,0,0,98.4,2021-01-04T06:00:00Z,PT60M
11,0,0,50.6,0,0,98,2021-01-04T07:00:00Z,PT60M
11,0,0,47,0,0,99.3,2021-01-04T08:00:00Z,PT60M
11,0,0,50.5,0,0,100,2021-01-04T09:00:00Z,PT60M
11,0,0,49.3,0,0,100,2021-01-04T10:00:00Z,PT60M
11,0,0,42.7,0,0,99.7,2021-01-04T11:00:00Z,PT60M
11,18,45,34.9,49,34,99.3,2021-01-04T12:00:00Z,PT60M
11,56,270,42,14,157,99.3,2021-01-04T13:00:00Z,PT60M
12,76,524,31.5,218,366,96.1,2021-01-04T14:00:00Z,PT60M
13,89,749,56.4,32,323,93.6,2021-01-04T15:00:00Z,PT60M
13,110,917,66.5,0,304,93.4,2021-01-04T16:00:00Z,PT60M
14,115,1018,63.9,0,369,90.4,2021-01-04T17:00:00Z,PT60M
14,118,1041,54.7,0,471,87.8,2021-01-04T18:00:00Z,PT60M
14,154,975,54.7,2,440,88.7,2021-01-04T19:00:00Z,PT60M
14,140,847,44.3,31,469,89.8,2021-01-04T20:00:00Z,PT60M
14,117,655,65,0,226,90.4,2021-01-04T21:00:00Z,PT60M
14,93,417,64.4,0,145,91.5,2021-01-04T22:00:00Z,PT60M
13,57,163,69.2,0,54,92.7,2021-01-04T23:00:00Z,PT60M
13,5,7,62.1,0,3,94.3,2021-01-05T00:00:00Z,PT60M
12,0,0,59.8,0,0,95.8,2021-01-05T01:00:00Z,PT60M
12,0,0,72.8,0,0,96.7,2021-01-05T02:00:00Z,PT60M
12,0,0,63.4,0,0,95.5,2021-01-05T03:00:00Z,PT60M
12,0,0,60,0,0,94.5,2021-01-05T04:00:00Z,PT60M
12,0,0,56.8,0,0,93.6,2021-01-05T05:00:00Z,PT60M
11,0,0,48.7,0,0,92.6,2021-01-05T06:00:00Z,PT60M
11,0,0,55.3,0,0,93.2,2021-01-05T07:00:00Z,PT60M
11,0,0,51.4,0,0,94.2,2021-01-05T08:00:00Z,PT60M
10,0,0,49.7,0,0,94.5,2021-01-05T09:00:00Z,PT60M
10,0,0,48.6,0,0,95.7,2021-01-05T10:00:00Z,PT60M
10,0,0,59.6,0,0,97.4,2021-01-05T11:00:00Z,PT60M
10,20,42,63.8,4,26,95.4,2021-01-05T12:00:00Z,PT60M
11,66,264,33.1,71,170,91.7,2021-01-05T13:00:00Z,PT60M
12,86,521,63.8,0,184,85.9,2021-01-05T14:00:00Z,PT60M
13,98,747,57.5,0,321,83.7,2021-01-05T15:00:00Z,PT60M
14,131,911,27.8,250,656,87.7,2021-01-05T16:00:00Z,PT60M
15,135,1013,69.6,15,304,87.5,2021-01-05T17:00:00Z,PT60M
15,132,1039,84.2,0,164,84,2021-01-05T18:00:00Z,PT60M
15,137,982,31.4,255,670,82,2021-01-05T19:00:00Z,PT60M
15,127,853,44.1,61,478,81.7,2021-01-05T20:00:00Z,PT60M
15,108,662,28.8,240,474,82,2021-01-05T21:00:00Z,PT60M
14,92,421,51.5,0,211,88.7,2021-01-05T22:00:00Z,PT60M
12,56,166,67.2,0,54,96.1,2021-01-05T23:00:00Z,PT60M
12,5,8,44.8,0,4,96.7,2021-01-06T00:00:00Z,PT60M
11,0,0,38.3,0,0,97.4,2021-01-06T01:00:00Z,PT60M
11,0,0,31.2,0,0,97.1,2021-01-06T02:00:00Z,PT60M
11,0,0,19.1,0,0,95.1,2021-01-06T03:00:00Z,PT60M
11,0,0,7.1,0,0,92.6,2021-01-06T04:00:00Z,PT60M
11,0,0,27.2,0,0,92.3,2021-01-06T05:00:00Z,PT60M
10,0,0,8.1,0,0,92.9,2021-01-06T06:00:00Z,PT60M
10,0,0,19.1,0,0,93.5,2021-01-06T07:00:00Z,PT60M
9,0,0,7.1,0,0,93.8,2021-01-06T08:00:00Z,PT60M
9,0,0,11.2,0,0,94.1,2021-01-06T09:00:00Z,PT60M
9,0,0,9.6,0,0,95.7,2021-01-06T10:00:00Z,PT60M
10,0,0,20.6,0,0,96.4,2021-01-06T11:00:00Z,PT60M
10,19,42,25.9,25,32,95.4,2021-01-06T12:00:00Z,PT60M
10,59,265,22.9,225,203,94.5,2021-01-06T13:00:00Z,PT60M
11,77,523,29.5,207,374,94.2,2021-01-06T14:00:00Z,PT60M
12,88,749,42.3,130,424,85.2,2021-01-06T15:00:00Z,PT60M
14,98,921,47.8,4,482,80.6,2021-01-06T16:00:00Z,PT60M
16,103,1024,62.7,0,383,84.8,2021-01-06T17:00:00Z,PT60M
16,107,1050,14.8,643,894,88,2021-01-06T18:00:00Z,PT60M
16,129,991,18.7,494,809,91.4,2021-01-06T19:00:00Z,PT60M
15,122,862,49,68,445,92.8,2021-01-06T20:00:00Z,PT60M
15,107,670,65.2,13,244,92.2,2021-01-06T21:00:00Z,PT60M
13,92,426,69.6,0,129,93.1,2021-01-06T22:00:00Z,PT60M
12,56,169,72.4,0,44,95.2,2021-01-06T23:00:00Z,PT60M
12,6,8,69.3,0,2,94.8,2021-01-07T00:00:00Z,PT60M
12,0,0,35.5,0,0,94.2,2021-01-07T01:00:00Z,PT60M
12,0,0,48.8,0,0,92.7,2021-01-07T02:00:00Z,PT60M
11,0,0,54.9,0,0,91.7,2021-01-07T03:00:00Z,PT60M
11,0,0,61.4,0,0,91.4,2021-01-07T04:00:00Z,PT60M
10,0,0,74.9,0,0,91.3,2021-01-07T05:00:00Z,PT60M
10,0,0,80.8,0,0,91,2021-01-07T06:00:00Z,PT60M
10,0,0,59.2,0,0,89.8,2021-01-07T07:00:00Z,PT60M
10,0,0,48.5,0,0,89.2,2021-01-07T08:00:00Z,PT60M
9,0,0,37.9,0,0,90.4,2021-01-07T09:00:00Z,PT60M
9,0,0,24.8,0,0,92.5,2021-01-07T10:00:00Z,PT60M
10,0,0,42.7,0,0,93.2,2021-01-07T11:00:00Z,PT60M
10,18,42,55.5,35,30,90.7,2021-01-07T12:00:00Z,PT60M
10,59,266,14.1,413,232,87.4,2021-01-07T13:00:00Z,PT60M
11,82,524,2.2,826,514,84.3,2021-01-07T14:00:00Z,PT60M
14,99,750,8,731,690,71,2021-01-07T15:00:00Z,PT60M
17,117,921,17.9,490,756,61,2021-01-07T16:00:00Z,PT60M
17,127,1022,33.5,147,680,64.4,2021-01-07T17:00:00Z,PT60M
16,130,1046,23.8,355,797,72.8,2021-01-07T18:00:00Z,PT60M
16,137,988,20.9,513,785,79.5,2021-01-07T19:00:00Z,PT60M
15,131,857,51.7,131,423,82,2021-01-07T20:00:00Z,PT60M
15,117,663,68.2,0,204,86.1,2021-01-07T21:00:00Z,PT60M
14,100,420,38.1,47,258,90.4,2021-01-07T22:00:00Z,PT60M
13,63,165,42.2,21,101,90.3,2021-01-07T23:00:00Z,PT60M
13,6,8,57.3,0,3,89.7,2021-01-08T00:00:00Z,PT60M
13,0,0,60.6,0,0,90.3,2021-01-08T01:00:00Z,PT60M
13,0,0,54,0,0,89.1,2021-01-08T02:00:00Z,PT60M
12,0,0,52,0,0,90,2021-01-08T03:00:00Z,PT60M
12,0,0,47.3,0,0,90.2,2021-01-08T04:00:00Z,PT60M
12,0,0,72.9,0,0,88.4,2021-01-08T05:00:00Z,PT60M
12,0,0,79.8,0,0,86.9,2021-01-08T06:00:00Z,PT60M
11,0,0,82.7,0,0,85.5,2021-01-08T07:00:00Z,PT60M
11,0,0,83.7,0,0,86.3,2021-01-08T08:00:00Z,PT60M
10,0,0,81,0,0,88,2021-01-08T09:00:00Z,PT60M
11,0,0,77.4,0,0,86.8,2021-01-08T10:00:00Z,PT60M
11,0,0,68.8,0,0,85.4,2021-01-08T11:00:00Z,PT60M
11,18,40,63.9,0,23,87.8,2021-01-08T12:00:00Z,PT60M
11,65,259,42.7,2,150,87.8,2021-01-08T13:00:00Z,PT60M
12,91,515,51,9,249,86.1,2021-01-08T14:00:00Z,PT60M
14,108,741,27.3,305,546,77.5,2021-01-08T15:00:00Z,PT60M
16,112,915,14.5,583,782,71.9,2021-01-08T16:00:00Z,PT60M
16,115,1019,69.6,0,311,79.5,2021-01-08T17:00:00Z,PT60M
16,117,1045,60.2,7,416,85.6,2021-01-08T18:00:00Z,PT60M
16,119,991,69.5,0,303,87.3,2021-01-08T19:00:00Z,PT60M
15,110,863,43.7,101,491,88.5,2021-01-08T20:00:00Z,PT60M
14,101,670,72.6,0,184,90.7,2021-01-08T21:00:00Z,PT60M
13,85,430,81.4,0,76,92.1,2021-01-08T22:00:00Z,PT60M
13,54,173,72.1,0,46,90.9,2021-01-08T23:00:00Z,PT60M
13,6,9,70.5,0,3,90,2021-01-09T00:00:00Z,PT60M
12,0,0,69.7,0,0,90.2,2021-01-09T01:00:00Z,PT60M
12,0,0,40.8,0,0,90.8,2021-01-09T02:00:00Z,PT60M
11,0,0,29.4,0,0,92,2021-01-09T03:00:00Z,PT60M
11,0,0,21.1,0,0,92.9,2021-01-09T04:00:00Z,PT60M
11,0,0,23.4,0,0,92,2021-01-09T05:00:00Z,PT60M
10,0,0,17.7,0,0,90.7,2021-01-09T06:00:00Z,PT60M
10,0,0,20,0,0,91,2021-01-09T07:00:00Z,PT60M
10,0,0,33.4,0,0,91,2021-01-09T08:00:00Z,PT60M
10,0,0,52.3,0,0,89.5,2021-01-09T09:00:00Z,PT60M
10,0,0,72.8,0,0,91,2021-01-09T10:00:00Z,PT60M
10,0,0,66.8,0,0,92.2,2021-01-09T11:00:00Z,PT60M
10,18,39,45.7,0,23,89.5,2021-01-09T12:00:00Z,PT60M
10,61,258,32,71,176,87.7,2021-01-09T13:00:00Z,PT60M
12,81,516,14.1,521,446,85.2,2021-01-09T14:00:00Z,PT60M
14,92,744,26.9,273,543,80.2,2021-01-09T15:00:00Z,PT60M
15,99,918,35.5,233,599,78.1,2021-01-09T16:00:00Z,PT60M
16,102,1022,39.8,78,616,79.3,2021-01-09T17:00:00Z,PT60M
16,103,1049,32.8,183,705,79.2,2021-01-09T18:00:00Z,PT60M
16,101,997,47.3,21,524,80.3,2021-01-09T19:00:00Z,PT60M
15,97,869,31.9,192,595,81.5,2021-01-09T20:00:00Z,PT60M
15,89,677,45.9,40,367,81.4,2021-01-09T21:00:00Z,PT60M
14,77,436,43.2,76,236,85.2,2021-01-09T22:00:00Z,PT60M
13,53,177,39.3,15,108,87.4,2021-01-09T23:00:00Z,PT60M
12,6,10,69.4,0,3,87.6,2021-01-10T00:00:00Z,PT60M
12,0,0,58.2,0,0,89.6,2021-01-10T01:00:00Z,PT60M
12,0,0,50.6,0,0,90.5,2021-01-10T02:00:00Z,PT60M
12,0,0,46.4,0,0,90.8,2021-01-10T03:00:00Z,PT60M
11,0,0,55,0,0,89.9,2021-01-10T04:00:00Z,PT60M
11,0,0,38.7,0,0,89.6,2021-01-10T05:00:00Z,PT60M
11,0,0,57,0,0,88.7,2021-01-10T06:00:00Z,PT60M
11,0,0,33.7,0,0,86.6,2021-01-10T07:00:00Z,PT60M
11,0,0,53.4,0,0,88.1,2021-01-10T08:00:00Z,PT60M
11,0,0,57.7,0,0,89.8,2021-01-10T09:00:00Z,PT60M
10,0,0,12.6,0,0,89.2,2021-01-10T10:00:00Z,PT60M
10,0,0,13,0,0,88,2021-01-10T11:00:00Z,PT60M
10,15,40,33.7,15,26,85.7,2021-01-10T12:00:00Z,PT60M
11,47,265,28.6,355,206,79.6,2021-01-10T13:00:00Z,PT60M
13,60,525,0.2,930,524,71.6,2021-01-10T14:00:00Z,PT60M
14,70,754,2.2,940,736,66.3,2021-01-10T15:00:00Z,PT60M
16,84,927,9.1,759,843,65.7,2021-01-10T16:00:00Z,PT60M
16,84,1033,19.1,520,834,66.9,2021-01-10T17:00:00Z,PT60M
16,87,1059,30.3,433,740,67.9,2021-01-10T18:00:00Z,PT60M
15,107,1001,42.7,172,573,71.3,2021-01-10T19:00:00Z,PT60M
15,106,872,18.1,502,710,71,2021-01-10T20:00:00Z,PT60M
15,98,679,35,325,454,69.6,2021-01-10T21:00:00Z,PT60M
14,87,435,44.7,205,220,75.6,2021-01-10T22:00:00Z,PT60M
13,58,175,19.6,276,152,81.5,2021-01-10T23:00:00Z,PT60M
13,6,9,67.3,0,3,85.4,2021-01-11T00:00:00Z,PT60M
13,0,0,73.6,0,0,85.6,2021-01-11T01:00:00Z,PT60M
13,0,0,70.8,0,0,83.9,2021-01-11T02:00:00Z,PT60M
12,0,0,52.1,0,0,85.8,2021-01-11T03:00:00Z,PT60M
12,0,0,51.1,0,0,85.8,2021-01-11T04:00:00Z,PT60M
12,0,0,38.9,0,0,85.2,2021-01-11T05:00:00Z,PT60M
12,0,0,47.3,0,0,83.8,2021-01-11T06:00:00Z,PT60M
11,0,0,16.5,0,0,82.6,2021-01-11T07:00:00Z,PT60M
11,0,0,15.5,0,0,82.3,2021-01-11T08:00:00Z,PT60M
11,0,0,0.7,0,0,84.3,2021-01-11T09:00:00Z,PT60M
10,0,0,3.2,0,0,87.7,2021-01-11T10:00:00Z,PT60M
10,0,0,14.7,0,0,87.7,2021-01-11T11:00:00Z,PT60M
10,15,39,20.7,159,36,86.2,2021-01-11T12:00:00Z,PT60M
11,50,263,0,753,263,84.8,2021-01-11T13:00:00Z,PT60M
11,61,523,0.5,918,520,82.3,2021-01-11T14:00:00Z,PT60M
14,68,753,39.7,252,439,71.2,2021-01-11T15:00:00Z,PT60M
18,73,928,45.5,118,512,62.7,2021-01-11T16:00:00Z,PT60M
18,77,1035,26.4,343,762,63.2,2021-01-11T17:00:00Z,PT60M
17,83,1062,56.3,14,464,64.1,2021-01-11T18:00:00Z,PT60M
16,83,1011,18,540,827,66.8,2021-01-11T19:00:00Z,PT60M
