air_temp,clearsky_dhi,clearsky_ghi,cloud_opacity,dni,ghi,relative_humidity,period_end,period
13,0,0,48.9,0,0,96.8,2021-01-01T01:00:00Z,PT60M
13,0,0,42.8,0,0,95.5,2021-01-01T02:00:00Z,PT60M
12,0,0,42.3,0,0,94.6,2021-01-01T03:00:00Z,PT60M
12,0,0,36.8,0,0,93.9,2021-01-01T04:00:00Z,PT60M
11,0,0,38.6,0,0,93.3,2021-01-01T05:00:00Z,PT60M
11,0,0,38.9,0,0,92.9,2021-01-01T06:00:00Z,PT60M
11,0,0,34.5,0,0,93.6,2021-01-01T07:00:00Z,PT60M
11,0,0,18.2,0,0,94.2,2021-01-01T08:00:00Z,PT60M
10,0,0,54.4,0,0,92.9,2021-01-01T09:00:00Z,PT60M
10,0,0,50.7,0,0,92.3,2021-01-01T10:00:00Z,PT60M
10,0,0,46.1,0,0,91.3,2021-01-01T11:00:00Z,PT60M
10,22,45,60.6,18,30,88.9,2021-01-01T12:00:00Z,PT60M
11,66,269,2,645,266,86.6,2021-01-01T13:00:00Z,PT60M
12,83,526,2.8,798,512,82.5,2021-01-01T14:00:00Z,PT60M
14,94,750,8.2,722,687,73.2,2021-01-01T15:00:00Z,PT60M
16,105,916,15.7,551,771,68.3,2021-01-01T16:00:00Z,PT60M
16,109,1015,38.3,149,624,73.7,2021-01-01T17:00:00Z,PT60M
15,110,1036,60.4,6,411,81,2021-01-01T18:00:00Z,PT60M
15,136,973,34.3,185,635,85.6,2021-01-01T19:00:00Z,PT60M
15,133,841,17.6,452,694,86.4,2021-01-01T20:00:00Z,PT60M
15,118,647,40.1,161,398,84.5,2021-01-01T21:00:00Z,PT60M
14,100,406,55.8,0,177,87.8,2021-01-01T22:00:00Z,PT60M
13,60,153,52.3,0,71,92.1,2021-01-01T23:00:00Z,PT60M
12,5,6,71.2,0,2,92.7,2021-01-02T00:00:00Z,PT60M
12,0,0,80.7,0,0,93.6,2021-01-02T01:00:00Z,PT60M
12,0,0,78.9,0,0,93.6,2021-01-02T02:00:00Z,PT60M
12,0,0,80.9,0,0,93.3,2021-01-02T03:00:00Z,PT60M
12,0,0,80.8,0,0,90.3,2021-01-02T04:00:00Z,PT60M
13,0,0,77.1,0,0,86.8,2021-01-02T05:00:00Z,PT60M
13,0,0,80.5,0,0,86.2,2021-01-02T06:00:00Z,PT60M
13,0,0,74.4,0,0,85.9,2021-01-02T07:00:00Z,PT60M
13,0,0,62.3,0,0,86.8,2021-01-02T08:00:00Z,PT60M
12,0,0,67,0,0,88.8,2021-01-02T09:00:00Z,PT60M
12,0,0,72.2,0,0,87.3,2021-01-02T10:00:00Z,PT60M
12,0,0,75.7,0,0,85.2,2021-01-02T11:00:00Z,PT60M
12,19,45,51.9,0,23,83.8,2021-01-02T12:00:00Z,PT60M
12,56,272,60.4,11,117,81.6,2021-01-02T13:00:00Z,PT60M
13,66,529,46.6,102,290,77.2,2021-01-02T14:00:00Z,PT60M
14,70,754,45,110,415,70.5,2021-01-02T15:00:00Z,PT60M
16,79,922,50.4,12,455,67.6,2021-01-02T16:00:00Z,PT60M
17,83,1021,39.9,291,618,69.4,2021-01-02T17:00:00Z,PT60M
17,85,1043,15.7,596,879,73.1,2021-01-02T18:00:00Z,PT60M
16,94,983,16.1,583,827,79.5,2021-01-02T19:00:00Z,PT60M
16,91,853,27.5,309,621,83.7,2021-01-02T20:00:00Z,PT60M
16,85,660,44.1,153,381,82.6,2021-01-02T21:00:00Z,PT60M
15,75,419,61.5,0,165,84.8,2021-01-02T22:00:00Z,PT60M
14,48,164,59.1,0,64,88.3,2021-01-02T23:00:00Z,PT60M
13,4,7,58.1,0,3,89.2,2021-01-03T00:00:00Z,PT60M
13,0,0,47.1,0,0,89.7,2021-01-03T01:00:00Z,PT60M
13,0,0,55.8,0,0,89.2,2021-01-03T02:00:00Z,PT60M
13,0,0,52.5,0,0,91.2,2021-01-03T03:00:00Z,PT60M
12,0,0,18,0,0,94.2,2021-01-03T04:00:00Z,PT60M
12,0,0,73.1,0,0,94.5,2021-01-03T05:00:00Z,PT60M
12,0,0,59.4,0,0,95.2,2021-01-03T06:00:00Z,PT60M
12,0,0,56.6,0,0,95.2,2021-01-03T07:00:00Z,PT60M
