air_temp,clearsky_dhi,clearsky_ghi,cloud_opacity,dni,ghi,relative_humidity,period_end,period
25,0,0,55,0,0,76.2,2021-01-01T01:00:00Z,PT60M
25,0,0,63.9,0,0,76.2,2021-01-01T02:00:00Z,PT60M
25,0,0,87.9,0,0,75.9,2021-01-01T03:00:00Z,PT60M
25,0,0,87.2,0,0,75.9,2021-01-01T04:00:00Z,PT60M
25,0,0,87.2,0,0,77.1,2021-01-01T05:00:00Z,PT60M
25,0,0,73.7,0,0,78.5,2021-01-01T06:00:00Z,PT60M
25,0,0,58,0,0,79.2,2021-01-01T07:00:00Z,PT60M
25,0,0,53.9,0,0,80,2021-01-01T08:00:00Z,PT60M
25,0,0,50.3,0,0,80.9,2021-01-01T09:00:00Z,PT60M
25,0,0,48,0,0,81.7,2021-01-01T10:00:00Z,PT60M
25,0,0,39.7,0,0,81.9,2021-01-01T11:00:00Z,PT60M
25,10,17,44.1,0,11,82.2,2021-01-01T12:00:00Z,PT60M
25,54,187,13.4,328,169,81.9,2021-01-01T13:00:00Z,PT60M
25,75,419,8.3,556,384,80.7,2021-01-01T14:00:00Z,PT60M
25,83,632,7.2,669,588,80,2021-01-01T15:00:00Z,PT60M
25,86,799,7.3,710,741,80.4,2021-01-01T16:00:00Z,PT60M
25,88,902,6.7,747,842,80.7,2021-01-01T17:00:00Z,PT60M
25,89,935,5.5,788,884,80.4,2021-01-01T18:00:00Z,PT60M
25,88,893,26.9,273,653,80.7,2021-01-01T19:00:00Z,PT60M
25,85,781,18.3,446,635,80.9,2021-01-01T20:00:00Z,PT60M
25,82,606,13.1,523,529,80.9,2021-01-01T21:00:00Z,PT60M
25,71,389,18.8,336,318,80.9,2021-01-01T22:00:00Z,PT60M
25,49,157,53.4,12,77,80.9,2021-01-01T23:00:00Z,PT60M
25,5,8,47.4,0,4,81.2,2021-01-02T00:00:00Z,PT60M
25,0,0,57.3,0,0,81.9,2021-01-02T01:00:00Z,PT60M
25,0,0,58.1,0,0,82.4,2021-01-02T02:00:00Z,PT60M
25,0,0,55.9,0,0,83.4,2021-01-02T03:00:00Z,PT60M
24,0,0,58.8,0,0,85.2,2021-01-02T04:00:00Z,PT60M
24,0,0,61.7,0,0,86.2,2021-01-02T05:00:00Z,PT60M
24,0,0,59.4,0,0,86.8,2021-01-02T06:00:00Z,PT60M
24,0,0,58.1,0,0,87,2021-01-02T07:00:00Z,PT60M
24,0,0,66.1,0,0,87,2021-01-02T08:00:00Z,PT60M
24,0,0,52,0,0,86.8,2021-01-02T09:00:00Z,PT60M
24,0,0,65.2,0,0,86.2,2021-01-02T10:00:00Z,PT60M
25,0,0,75.8,0,0,85.5,2021-01-02T11:00:00Z,PT60M
25,10,16,78.9,0,6,85,2021-01-02T12:00:00Z,PT60M
25,57,184,57.5,0,75,84.4,2021-01-02T13:00:00Z,PT60M
25,80,417,53.9,0,192,83.7,2021-01-02T14:00:00Z,PT60M
25,92,630,63.5,0,233,83.2,2021-01-02T15:00:00Z,PT60M
25,99,796,44,5,446,82.7,2021-01-02T16:00:00Z,PT60M
25,102,901,29.7,216,633,81.9,2021-01-02T17:00:00Z,PT60M
25,100,935,33.6,149,621,81.7,2021-01-02T18:00:00Z,PT60M
