air_temp,clearsky_dhi,clearsky_ghi,cloud_opacity,dni,ghi,relative_humidity,period_end,period
8,0,0,47.8,0,0,86,2021-01-01T01:00:00Z,PT60M
8,0,0,50.1,0,0,88.7,2021-01-01T02:00:00Z,PT60M
7,0,0,61.3,0,0,89.9,2021-01-01T03:00:00Z,PT60M
6,0,0,53.2,0,0,92,2021-01-01T04:00:00Z,PT60M
6,0,0,30.5,0,0,94,2021-01-01T05:00:00Z,PT60M
6,0,0,18.5,0,0,95.3,2021-01-01T06:00:00Z,PT60M
6,0,0,7.7,0,0,95.6,2021-01-01T07:00:00Z,PT60M
6,0,0,8.9,0,0,95.3,2021-01-01T08:00:00Z,PT60M
6,0,0,13,0,0,95.9,2021-01-01T09:00:00Z,PT60M
5,0,0,3.7,0,0,94.6,2021-01-01T10:00:00Z,PT60M
5,0,0,28,0,0,93.9,2021-01-01T11:00:00Z,PT60M
5,21,53,41.9,78,41,93.6,2021-01-01T12:00:00Z,PT60M
6,59,289,8.6,561,265,90.1,2021-01-01T13:00:00Z,PT60M
8,74,549,2.6,857,536,84.5,2021-01-01T14:00:00Z,PT60M
10,84,775,15.8,565,647,73,2021-01-01T15:00:00Z,PT60M
11,94,944,34,187,619,66.6,2021-01-01T16:00:00Z,PT60M
12,106,1042,47.2,0,551,65.8,2021-01-01T17:00:00Z,PT60M
12,112,1064,46.6,48,568,64.1,2021-01-01T18:00:00Z,PT60M
12,131,1004,25.9,331,746,64.3,2021-01-01T19:00:00Z,PT60M
12,131,871,53,15,415,65.8,2021-01-01T20:00:00Z,PT60M
11,116,676,69.2,0,211,68,2021-01-01T21:00:00Z,PT60M
11,92,434,48.5,25,217,73,2021-01-01T22:00:00Z,PT60M
10,58,175,38.2,6,110,79.1,2021-01-01T23:00:00Z,PT60M
9,6,9,67.8,0,4,82.9,2021-01-02T00:00:00Z,PT60M
7,0,0,68,0,0,88.4,2021-01-02T01:00:00Z,PT60M
7,0,0,75.2,0,0,92.1,2021-01-02T02:00:00Z,PT60M
7,0,0,71.2,0,0,93,2021-01-02T03:00:00Z,PT60M
7,0,0,60.3,0,0,93.3,2021-01-02T04:00:00Z,PT60M
7,0,0,44.9,0,0,93.4,2021-01-02T05:00:00Z,PT60M
7,0,0,62,0,0,93.7,2021-01-02T06:00:00Z,PT60M
7,0,0,72.9,0,0,93.3,2021-01-02T07:00:00Z,PT60M
7,0,0,66,0,0,94.3,2021-01-02T08:00:00Z,PT60M
6,0,0,50.8,0,0,94.9,2021-01-02T09:00:00Z,PT60M
6,0,0,48.7,0,0,95.3,2021-01-02T10:00:00Z,PT60M
5,0,0,44.5,0,0,95.6,2021-01-02T11:00:00Z,PT60M
6,20,52,43,5,33,93,2021-01-02T12:00:00Z,PT60M
7,54,286,22.4,273,221,86.5,2021-01-02T13:00:00Z,PT60M
9,65,547,48.4,2,283,76.6,2021-01-02T14:00:00Z,PT60M
11,73,775,51.2,0,381,67.4,2021-01-02T15:00:00Z,PT60M
12,83,946,46.5,38,507,64.6,2021-01-02T16:00:00Z,PT60M
13,91,1048,28.2,314,751,63.2,2021-01-02T17:00:00Z,PT60M
15,99,1071,43.6,104,605,60.9,2021-01-02T18:00:00Z,PT60M
15,111,1012,72.7,0,276,62.3,2021-01-02T19:00:00Z,PT60M
14,111,879,44.9,119,477,63,2021-01-02T20:00:00Z,PT60M
14,101,683,48.6,40,351,63.9,2021-01-02T21:00:00Z,PT60M
12,96,435,52.8,37,195,71.9,2021-01-02T22:00:00Z,PT60M
11,63,174,26.1,65,127,79.8,2021-01-02T23:00:00Z,PT60M
